speciesKey,month,obs_count,norm_frequency,mean_lat,mean_lon,individual_sum
2475410,2,17892,0.020090639190445604,19.102872273138583,74.63577844606695,77861
11273070,1,2775,0.0037052911557704403,19.45269088324321,75.67177068684674,7481
2496347,7,6408,0.021674057087193433,19.33416551388863,74.53256420458813,12313
2475410,3,7780,0.014045425578200344,19.136569632519233,74.58242240886878,28677
5229167,7,5110,0.017283775236510368,18.835674396477234,73.54919353894292,33887
5846290,10,3843,0.006498172970102994,19.09482369529006,74.14183213999429,10598
2479226,6,7364,0.01993583930045887,19.450798133487094,74.77176536257488,90408
2479226,11,12460,0.01667674945258503,19.325942128812297,74.58351573001588,106158
,12,21973,0.028473352477115577,19.257974154189366,74.72335709265869,150997
2482499,7,8454,0.028594331868778602,19.09755041057484,73.90167529654562,67306
2482499,1,13771,0.018387590813014318,19.056136034129704,73.91401038326838,130899
6101224,10,6824,0.011538780210247939,19.33306152886872,74.79396082385666,21579
5232005,12,10192,0.013207136414998497,19.213851645309923,74.60647552835562,15480
2482499,4,10268,0.02573001526059534,19.05949798490455,73.83754566195888,99576
2486131,2,23406,0.026282221154234845,19.068042838459586,74.43587334594169,103438
7341522,2,706,0.0007927560512214732,20.226180550991486,76.4078935439094,1060
6101224,3,6073,0.010963736444268726,19.260294954223635,74.93903284077078,19555
9600020,2,5928,0.006656455908839791,18.623403528339953,73.61340499848365,12253
6066512,12,9659,0.01251645708717332,19.25397637032811,74.76996854695082,72943
5229167,3,9545,0.017231823540349907,18.788833862231396,73.52646282021988,80851
2492758,2,4594,0.00515852875256579,19.53059000108833,74.67209984545083,11419
2480311,12,1008,0.0013062003047800712,19.125461687499982,74.27401774900794,19896
2495414,3,11902,0.0214869736801723,19.113202244832824,74.08751737481005,178154
2493970,3,8813,0.01591032591525445,19.38626703460785,74.93888023397227,26998
2486151,10,5291,0.008946612850589368,18.52627800037793,73.3967354725003,16269
6100941,2,4625,0.0051933381542483194,19.579577421405265,75.7901870497296,19341
6100870,1,2633,0.0035156870677994843,19.49659714090378,75.84760616748949,5692
5231190,12,7061,0.009149881301638971,19.174437703724642,74.44222867865679,56107
2489362,12,2958,0.003833075894384375,19.13852126910063,74.9558555087891,11978
5232005,9,6750,0.018145892979555628,19.076651035407473,74.41724295644379,10543
2480880,7,812,0.002746462914294798,19.377220504926182,74.3135689236453,2154
2494056,1,2074,0.002769287876420862,19.64094411089673,74.66098026567008,39426
5229167,1,12809,0.0171030898790139,18.773306673355002,73.60325000179448,92894
2493970,11,14523,0.019437915914919134,19.2895784461199,74.75079347951566,53795
2488963,1,1857,0.0024795407842398945,19.20008738664509,75.4900035697362,3102
2480327,11,310,0.00041491110195034987,19.142706254838703,72.96946070967739,2952
7340608,2,21950,0.024647302159081213,18.95197825239044,74.35696687403883,54939
2475410,1,14281,0.019068563241642397,19.261505344093518,74.88065537567248,71835
5788893,2,9602,0.010781931450182131,19.347815339408594,75.09674757040149,23393
7340608,4,8181,0.020500316989377723,19.16756849223817,74.8494170328801,17672
2480863,3,885,0.0015977122926359004,19.31607553107343,73.89823116497173,3304
2489005,12,12769,0.016546499694183262,19.252959330722813,74.32818357514194,89120
5228662,7,3296,0.011148204144723714,19.595925235436646,75.22615390351932,20175
2493598,8,5663,0.017131327065258165,19.017569304961846,74.5367311478013,28060
6087954,3,4768,0.008607787809364942,18.811760567952778,73.92383530473921,8339
2480876,2,8211,0.009219999910169287,19.342538158933174,74.75707068420417,38930
2481263,8,619,0.001872557205261311,19.02912580936992,72.88590557996774,4253
5229131,2,11331,0.01272339775692707,19.413796730473884,75.20486108481072,53728
,2,22448,0.025206498353852167,19.360983799447617,74.73583059987543,145260
2498261,3,157,0.00028343596603823314,20.057851751592338,76.30433250318471,1762
5788893,1,7981,0.010656550888001399,19.37585711013659,75.12957884926647,20303
2493145,11,6495,0.008693056797314589,18.945318760123158,74.02276339368757,12812
2492428,12,3730,0.004833459461140541,18.879552678820243,74.21656435281484,5866
,4,11044,0.02767455088995081,19.47016079454915,75.0234506283947,78925
5788516,2,494,0.0005547046590699827,19.36134947165987,73.3123247732795,939
2486822,12,2522,0.003268092429221567,18.863536346946752,74.7290121859629,8024
2475923,12,3215,0.004166105138757866,19.386158128771193,75.16036657511648,7409
6066512,4,3877,0.009715160612127788,19.394705828733454,74.98500159195275,51202
5228328,2,13420,0.015069102276759446,19.151966434351507,74.53737817950653,20813
2486131,12,17053,0.022097850989498565,19.210847087316026,74.6944584691252,79714
,1,20883,0.027883818092235713,19.367642965665954,74.81262781678834,147998
5788893,7,4736,0.016018778771059314,19.381534810177303,75.26622139907063,13023
7340537,3,3777,0.006818711106537622,19.506305009531438,75.51942435371966,25986
2494056,10,4665,0.007888102239274126,19.20295249839233,74.73511510246456,40047
2490307,1,767,0.0010241291230543884,19.753142985658414,75.0276876153846,1585
7340278,5,3109,0.0074041438437723265,19.267055291733573,74.43357253811445,11823
2496347,3,11006,0.019869402816667478,19.02055921315639,74.10010792776562,22708
5229126,11,4817,0.00644718315514463,19.26576034461297,74.79810503965099,63610
2493028,4,7800,0.019545590088882316,19.1475320243589,74.26568711538418,13293
2481800,12,6348,0.00822595191938878,19.10259836814742,74.30205261389335,21508
6100799,8,565,0.0017092000338814874,18.544922856637147,74.18199003185839,1355
2481104,12,682,0.0008837585395436592,19.0858109296188,72.9668782712609,204005
2489005,4,11069,0.027737197012030562,19.297939981389494,74.37811204661556,62225
6087954,12,5046,0.006538776525714523,18.844242456995545,73.94937958422472,8538
