district,town_name,display_name,year,census_count,first_census,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P,literacy_rate,workforce_rate,dependency_ratio,child_ratio,sc_st_share,household_size,sex_ratio
Nashik,igatpuri,Igatpuri (M),2012,3,1991,6322.0,30934.0,15682.3,15251.7,3259.0,6813.7,3415.4,24859.2,9815.3,7791.2,2024.1,21118.7,0.8036206116247495,0.3172981185750307,2.151610241154117,0.10535333290230814,0.33067498545289975,4.893071812717494,0.9725422929034645
Nashik,lasalgaon,Lasalgaon (Ct),2012,3,1991,3778.3,17842.8,9115.6,8727.2,2132.7,2435.9,647.2,14314.1,6852.9,6314.1,538.8,10989.9,0.8022339543121035,0.3840708857354227,1.603686030731515,0.11952720425045396,0.17279238684511403,4.722441309583675,0.9573917240774058
Nashik,malegaon,Malegaon (M),2012,3,1991,80628.9,477502.9,241868.4,235634.5,76822.7,18610.5,6402.9,353811.4,143033.4,135915.7,7117.7,334469.5,0.7409617826404824,0.29954456821099934,2.338401380376891,0.16088425850397975,0.052383765627392,5.9222301184810915,0.9742260667371182
Nashik,manmad,Manmad (M),2012,3,1991,16345.2,80823.7,41197.4,39626.3,9608.4,21748.6,4121.8,64229.2,26712.1,24243.4,2468.7,54111.6,0.7946827477583926,0.33049835629895685,2.0257336562831076,0.11888097179416433,0.32008433169973655,4.944797249345373,0.9618640982197906
Nashik,nandgaon,Nandgaon (M),2012,3,1991,4850.4,23644.9,12144.9,11500.0,2762.4,4317.4,1091.0,18671.1,8034.3,7496.6,537.7,15610.6,0.7896459701669281,0.33978997585102916,1.9429944114608615,0.11682857614115517,0.22873431479938588,4.8748350651492665,0.9468995216098939
Nashik,nashik,Nashik (M.Corp.),2012,3,1991,347447.3,1526934.7,803195.0,723739.7,177131.7,222636.9,110923.4,1216021.1,551160.8,510806.9,40353.9,975773.9,0.7963805524885904,0.3609589853449529,1.7703978584834044,0.11600476431637843,0.21845092655239284,4.3947231709672225,0.9010759529130534
Nashik,ozar,Ozar (Ct),2012,3,1991,11828.3,51831.3,26913.2,24918.1,6423.2,9115.4,5997.1,40874.0,20508.2,18875.0,1633.2,31323.1,0.7885968517092953,0.395672113182575,1.5273451594971765,0.12392511860593887,0.2915709233609807,4.381973740943331,0.9258690902605412
Nashik,ravalgaon,Ravalgaon (Ct),2012,1,1991,2487.0,12553.0,6494.0,6059.0,2104.0,2287.0,1776.0,6840.0,4386.0,3873.0,513.0,7654.0,0.544889667808492,0.34939855014737514,1.7450980392156863,0.1676093364136063,0.32366764916752966,5.047446722959389,0.9330150908530952
Nashik,satana,Satana (M),2012,3,1991,7971.8,38215.0,19714.6,18500.4,4274.2,2331.7,4681.7,30594.0,13397.7,12399.4,998.3,24817.3,0.8005756901740154,0.3505874656548476,1.8523552550064561,0.11184613371712677,0.18352479392908544,4.7937730500012545,0.9384111267791384
Nashik,sinnar,Sinnar (M),2012,3,1991,15226.1,68665.9,36453.4,32212.5,8942.4,5893.8,4784.0,52324.8,26388.1,24334.8,2053.3,42277.8,0.7620201584774977,0.3842970091413642,1.6021540012354056,0.13023058024434253,0.1555036779536859,4.509749706096768,0.8836624292932895
Nashik,trimbak,Trimbak (M),2012,3,1991,2318.7,12281.2,6274.6,6006.6,1331.3,717.4,4433.0,9859.5,4343.6,3860.6,483.0,7937.6,0.8028124287528905,0.35367879360323096,1.8274242563771985,0.10840145914080056,0.4193726997361821,5.29658860568422,0.9572881139833614
Nashik,yevla,Yevla (M),2012,3,1991,10033.9,50487.9,25900.0,24587.9,5982.1,3976.5,1570.3,40702.7,17218.2,15984.1,1234.1,33269.7,0.8061872250578851,0.3410361690622902,1.9322403038645153,0.11848581541319801,0.10986394759932577,5.0317324270722255,0.9493397683397684
Thane,bhiwandi,Bhiwandi (M),2012,2,1991,154768.8,840379.1,519003.10000000003,321376.0,108956.79999999999,5615.0,3506.4,599718.6,355624.6,342101.2,13523.4,486269.2,0.7136286468809137,0.42317163765733823,1.36736659949846,0.1296519630247825,0.010853911050381904,5.429899953995896,0.6192178813575487
Thane,dahanu,Dahanu (M),2012,3,1991,11601.1,50875.6,26078.3,24797.3,5170.9,2532.0,9432.5,38829.1,20223.7,18186.4,2037.3,30651.9,0.763216551745827,0.3975127566063103,1.5156425382101197,0.10163811335885965,0.2351716736510233,4.3854117281981875,0.9508786999152552
Thane,gokhivare,Gokhivare (Ct),2012,2,1991,8339.4,34791.9,20053.100000000002,14738.8,6140.099999999999,828.4,2427.0,22690.3,13209.4,12126.0,1083.3999999999999,21610.0,0.6521719135775855,0.3796688309635288,1.6359562129998335,0.17648073258430838,0.0935677557132551,4.171990790704368,0.734988605253053
Thane,jawhar,Jawhar (M),2012,3,1991,2754.1,12114.2,6142.0,5972.2,1418.7,958.7,4264.8,9560.3,4175.6,3563.7,611.9,7938.6,0.7891812913770615,0.34468640108302656,1.9011878532426476,0.1171104984233379,0.43118819236928563,4.398605715115647,0.9723542819928361
Thane,kalyan,Kalyan (M.Corp.),2012,1,1991,229700.0,1014557.0,540817.0,473740.0,159955.0,73482.0,27091.0,709748.0,335530.0,328718.0,6812.0,672215.0,0.6995644404405076,0.33071577052841783,2.0034423151432064,0.15765994419239135,0.09912996509806743,4.416878537222464,0.875970984639906
Thane,khoni,Khoni (Ct),2012,3,1991,4852.2,26349.0,16539.6,9809.4,3315.6,644.6,670.8,18002.0,12785.7,11417.9,1367.8,13563.3,0.6832137842043341,0.4852442217920984,1.060817945047983,0.1258339974951611,0.04992219818588941,5.430320267095339,0.5930856852644563
