district,norm_name,display_name,No_HH_1991,TOT_P_1991,TOT_M_1991,TOT_F_1991,P_06_1991,P_SC_1991,P_ST_1991,P_LIT_1991,TOT_WORK_P_1991,MAINWORK_P_1991,MARGWORK_P_1991,NON_WORK_P_1991,first_census,census_count,census_years_str,No_HH_2001,TOT_P_2001,TOT_M_2001,TOT_F_2001,P_06_2001,P_SC_2001,P_ST_2001,P_LIT_2001,TOT_WORK_P_2001,MAINWORK_P_2001,MARGWORK_P_2001,NON_WORK_P_2001,No_HH_2011,TOT_P_2011,TOT_M_2011,TOT_F_2011,P_06_2011,P_SC_2011,P_ST_2011,P_LIT_2011,TOT_WORK_P_2011,MAINWORK_P_2011,MARGWORK_P_2011,NON_WORK_P_2011
Jalgaon,kandari,Kandari (Ct),2806.0,14656.0,7989.0,6667.0,2187.0,2791.0,660.0,10101.0,4107.0,4052.0,55.0,10494.0,1991,3,"1991,2001,2011",3102.0,15192.0,8035.0,7157.0,1721.0,2535.0,1261.0,11954.0,4165.0,3665.0,500.0,11027.0,3545.0,16353.0,8570.0,7783.0,1845.0,3872.0,1424.0,12968.0,5498.0,4622.0,876.0,10855.0
Jalgaon,nimbhore bk.,Nimbhore Bk. (Ct),1862.0,8714.0,4587.0,4127.0,1606.0,1692.0,507.0,5956.0,2138.0,2138.0,0.0,6576.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Jalgaon,pachora,Pachora (M),7186.0,41142.0,21211.0,19931.0,7542.0,4171.0,1149.0,23994.0,12259.0,11900.0,359.0,28524.0,1991,3,"1991,2001,2011",8252.0,45333.0,23511.0,21822.0,6167.0,4097.0,1159.0,30801.0,14443.0,12112.0,2331.0,30890.0,12325.0,59609.0,30958.0,28651.0,7269.0,5919.0,2022.0,42995.0,19836.0,16393.0,3443.0,39773.0
Jalgaon,parola,Parola (M),5070.0,29191.0,15005.0,14186.0,5175.0,1736.0,708.0,16511.0,9621.0,8620.0,1001.0,18569.0,1991,3,"1991,2001,2011",6244.0,34799.0,18014.0,16785.0,4853.0,1913.0,762.0,23606.0,11486.0,8737.0,2749.0,23313.0,7325.0,37666.0,19552.0,18114.0,4419.0,2192.0,811.0,28173.0,12946.0,11226.0,1720.0,24720.0
Jalgaon,raver,Raver (M),4066.0,23920.0,12365.0,11555.0,4271.0,1699.0,460.0,12413.0,7627.0,7357.0,270.0,16023.0,1991,3,"1991,2001,2011",4240.0,25993.0,13427.0,12566.0,4036.0,1619.0,489.0,16714.0,7929.0,7500.0,429.0,18064.0,4926.0,27039.0,13843.0,13196.0,3666.0,2048.0,314.0,18747.0,8465.0,7764.0,701.0,18574.0
Jalgaon,savda,Savda (M),3298.0,17674.0,9179.0,8495.0,2663.0,1749.0,693.0,10927.0,6103.0,5911.0,192.0,11379.0,1991,3,"1991,2001,2011",3658.0,19332.0,9996.0,9336.0,2558.0,1067.0,1055.0,13764.0,6573.0,6397.0,176.0,12759.0,4337.0,20584.0,10637.0,9947.0,2604.0,1973.0,1009.0,14949.0,6727.0,6426.0,301.0,13857.0
Jalgaon,varangaon,Varangaon (Ct),6437.0,33644.0,17688.0,15956.0,4862.0,5362.0,909.0,23808.0,9425.0,9239.0,186.0,24033.0,1991,2,"1991,2011",,,,,,,,,,,,,7783.0,35411.0,18385.0,17026.0,4178.0,5625.0,1040.0,26987.0,11541.0,9491.0,2050.0,23870.0
Jalgaon,yawal,Yawal (M),5053.0,28741.0,14822.0,13919.0,5001.0,2436.0,781.0,16040.0,9104.0,8699.0,405.0,19232.0,1991,3,"1991,2001,2011",5646.0,31803.0,16414.0,15389.0,4601.0,2324.0,1306.0,20891.0,10427.0,8278.0,2149.0,21376.0,7363.0,36706.0,18965.0,17741.0,4755.0,2775.0,2460.0,25297.0,12593.0,10702.0,1891.0,24113.0
Buldana,buldana,Buldana (M),10147.0,52767.0,27540.0,25227.0,8601.0,8986.0,1336.0,36347.0,14330.0,14040.0,290.0,38147.0,1991,3,"1991,2001,2011",12533.0,62972.0,32727.0,30245.0,8135.0,10371.0,1680.0,48090.0,17529.0,16474.0,1055.0,45443.0,14098.0,67431.0,34502.0,32929.0,7730.0,12342.0,1568.0,53971.0,20729.0,18884.0,1845.0,46702.0
Buldana,chikhli,Chikhli (M),6742.0,37862.0,19758.0,18104.0,7074.0,4524.0,305.0,22615.0,10823.0,10171.0,652.0,26387.0,1991,3,"1991,2001,2011",9182.0,48428.0,25297.0,23131.0,6554.0,6013.0,570.0,35770.0,14231.0,12689.0,1542.0,34197.0,11864.0,57889.0,29977.0,27912.0,6785.0,9515.0,515.0,45627.0,18813.0,16941.0,1872.0,39076.0
