district,town_name,display_name,year,census_count,first_census,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P,literacy_rate,workforce_rate,dependency_ratio,child_ratio,sc_st_share,household_size,sex_ratio
Dhule,akkalkuwa,Akkalkuwa (Ct),2014,1,1991,1183.0,7711.0,4464.0,3247.0,1360.0,612.0,955.0,4846.0,1932.0,1821.0,111.0,5668.0,0.6284528595512904,0.2505511606795487,2.9337474120082816,0.17637141745558294,0.20321618467124886,6.518174133558749,0.7273745519713262
Dhule,dhule,Dhule (M),2014,3,1991,75288.1,385700.2,198148.2,187552.0,44133.1,29996.5,15706.5,302257.0,119187.9,110808.0,8379.9,266512.3,0.783657877283963,0.30901695150793285,2.2360684264090565,0.11442332671852386,0.11849358646949107,5.122990220234008,0.9465238644610448
Dhule,dondaicha,Dondaicha (M),2014,1,1991,5949.0,33641.0,17380.0,16261.0,5903.0,2314.0,4450.0,18684.0,10479.0,10058.0,421.0,22741.0,0.5553937160013079,0.3114949020540412,2.1701498234564367,0.17547040813293302,0.2010641776403793,5.654899983190452,0.9356156501726122
Dhule,nandurbar,Nandurbar (M),2014,1,1991,12977.0,78378.0,40808.0,37570.0,12393.0,5869.0,7665.0,50298.0,20366.0,19675.0,691.0,57321.0,0.6417362014851106,0.25984332338156113,2.814543847589119,0.15811834953685983,0.17267600602209804,6.039762657008554,0.9206528131738875
Dhule,nawapur,Nawapur (M),2014,1,1991,4223.0,23958.0,12353.0,11605.0,4110.0,1217.0,6677.0,13676.0,6959.0,6777.0,182.0,16817.0,0.5708322898405543,0.2904666499707822,2.4165828423624083,0.17155021287252692,0.32949327990650307,5.673218091404215,0.9394479073909172
Dhule,shahade,Shahade (M),2014,1,1991,5293.0,31890.0,16460.0,15430.0,5842.0,2094.0,3243.0,18860.0,8699.0,8671.0,28.0,23163.0,0.5914079648792725,0.27278143618689243,2.6627198528566502,0.18319222326748197,0.1673565380997178,6.024938598148498,0.9374240583232077
Dhule,shirpur,Shirpur (M),2014,1,1991,7532.0,44246.0,22888.0,21358.0,7726.0,3282.0,2711.0,25703.0,13367.0,12937.0,430.0,30449.0,0.5809112688152601,0.302106405098766,2.2779232438093815,0.17461465443203905,0.13544727206979162,5.874402549123738,0.9331527437958755
Dhule,talode,Talode (M),2014,1,1991,3876.0,21700.0,11066.0,10634.0,3582.0,1161.0,5381.0,11650.0,7163.0,6868.0,295.0,14242.0,0.5368663594470046,0.3300921658986175,1.9882730699427613,0.16506912442396313,0.3014746543778802,5.598555211558308,0.9609615037050425
Jalgaon,amalner,Amalner (M),2014,3,1991,20518.4,97345.2,50185.9,47159.3,9869.6,7251.0,6532.3,75256.6,34667.3,28206.6,6460.700000000001,62677.9,0.773089993137823,0.3561274721301102,1.8079833156894247,0.10138763904126757,0.14159198399099288,4.744288053649407,0.9396922243100154
Jalgaon,bhusawal,Bhusawal (M),2014,3,1991,40291.3,191935.7,98228.7,93707.0,19581.6,32413.2,6392.3,152901.6,56637.4,48853.3,7784.099999999999,135298.3,0.7966292878292053,0.2950852811644733,2.3888508300169145,0.10202166663106445,0.20217968830186359,4.763700848570287,0.953967628605489
