district,town_name,display_name,year,census_count,first_census,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P,literacy_rate,workforce_rate,dependency_ratio,child_ratio,sc_st_share,household_size,sex_ratio
Dhule,akkalkuwa,Akkalkuwa (Ct),2018,1,1991,1183.0,7711.0,4464.0,3247.0,1360.0,612.0,955.0,4846.0,1932.0,1821.0,111.0,5668.0,0.6284528595512904,0.2505511606795487,2.9337474120082816,0.17637141745558294,0.20321618467124886,6.518174133558749,0.7273745519713262
Dhule,dhule,Dhule (M),2018,3,1991,79570.9,399221.8,204417.8,194804.0,43195.9,30998.5,16332.5,317841.0,126205.1,118056.0,8149.1,273016.7,0.7961514125731611,0.3161277765893546,2.163277870704116,0.1082002535933659,0.11855815489033916,5.017183417555915,0.9529698490053216
Dhule,dondaicha,Dondaicha (M),2018,1,1991,5949.0,33641.0,17380.0,16261.0,5903.0,2314.0,4450.0,18684.0,10479.0,10058.0,421.0,22741.0,0.5553937160013079,0.3114949020540412,2.1701498234564367,0.17547040813293302,0.2010641776403793,5.654899983190452,0.9356156501726122
Dhule,nandurbar,Nandurbar (M),2018,1,1991,12977.0,78378.0,40808.0,37570.0,12393.0,5869.0,7665.0,50298.0,20366.0,19675.0,691.0,57321.0,0.6417362014851106,0.25984332338156113,2.814543847589119,0.15811834953685983,0.17267600602209804,6.039762657008554,0.9206528131738875
Dhule,nawapur,Nawapur (M),2018,1,1991,4223.0,23958.0,12353.0,11605.0,4110.0,1217.0,6677.0,13676.0,6959.0,6777.0,182.0,16817.0,0.5708322898405543,0.2904666499707822,2.4165828423624083,0.17155021287252692,0.32949327990650307,5.673218091404215,0.9394479073909172
Dhule,shahade,Shahade (M),2018,1,1991,5293.0,31890.0,16460.0,15430.0,5842.0,2094.0,3243.0,18860.0,8699.0,8671.0,28.0,23163.0,0.5914079648792725,0.27278143618689243,2.6627198528566502,0.18319222326748197,0.1673565380997178,6.024938598148498,0.9374240583232077
Dhule,shirpur,Shirpur (M),2018,1,1991,7532.0,44246.0,22888.0,21358.0,7726.0,3282.0,2711.0,25703.0,13367.0,12937.0,430.0,30449.0,0.5809112688152601,0.302106405098766,2.2779232438093815,0.17461465443203905,0.13544727206979162,5.874402549123738,0.9331527437958755
Dhule,talode,Talode (M),2018,1,1991,3876.0,21700.0,11066.0,10634.0,3582.0,1161.0,5381.0,11650.0,7163.0,6868.0,295.0,14242.0,0.5368663594470046,0.3300921658986175,1.9882730699427613,0.16506912442396313,0.3014746543778802,5.598555211558308,0.9609615037050425
Jalgaon,amalner,Amalner (M),2018,3,1991,21553.6,99146.8,51015.1,48131.7,9458.4,7259.0,7060.7,78113.4,37131.7,29895.4,7236.3,62015.1,0.7878559872835028,0.37451233927872607,1.6701389917509837,0.09539793518298119,0.144429270536215,4.600011135030807,0.9434794796050581
Jalgaon,bhusawal,Bhusawal (M),2018,3,1991,42455.7,197955.3,101004.3,96951.0,19290.4,37574.8,6748.7,159254.4,60000.6,50949.7,9050.9,137954.7,0.8044967727562737,0.30310176085207113,2.2992220077799224,0.09744826230972348,0.22390660921935407,4.662631872752069,0.959870025335555
Jalgaon,chalisgaon,Chalisgaon (M),2018,3,1991,22146.4,102059.7,52912.6,49147.1,10500.4,10810.1,4009.1,80222.3,34372.9,29953.1,4419.8,67686.8,0.7860330767188225,0.3367920932552222,1.969190845113447,0.10288488012408424,0.1452012890494485,4.60841039627208,0.9288354758601921
Jalgaon,chopda,Chopda (M),2018,3,1991,15875.8,81125.6,41795.4,39330.2,9259.0,6731.2,7168.9,62700.6,26716.7,21982.1,4734.6,54408.9,0.7728830356878715,0.32932514520693834,2.03651274296601,0.11413166743913142,0.17134048931533324,5.1100165031053555,0.941017432540423
Jalgaon,dharangaon,Dharangaon (M),2018,3,1991,7295.5,36600.0,18866.2,17733.8,4197.1,2104.8,1971.8,27011.2,14121.0,12679.9,1441.1,22479.0,0.7380109289617487,0.38581967213114754,1.591884427448481,0.11467486338797815,0.11138251366120219,5.016791172640669,0.9399773139264928
Jalgaon,erandol,Erandol (M),2018,2,1991,6694.2,32240.35,16596.4,15643.95,3681.15,1811.85,1864.15,22685.2,12278.65,10577.9,1700.75,19987.6,0.7036275970949447,0.38084729229056136,1.6278336787839054,0.11417835104147443,0.11401861332150551,4.816161751964387,0.9426110481791231
Jalgaon,faizpur,Faizpur (M),2018,3,1991,6344.0,28637.6,14627.1,14010.5,3604.6,2258.8,2716.8,21652.4,8815.1,7561.3,1253.8,19822.5,0.756082911975864,0.307815599072548,2.248698256400948,0.12586948626979916,0.1737436097997039,4.514123581336696,0.9578453692119422
Jalgaon,fekari,Fekari (Ct),2018,1,1991,991.0,4531.0,2463.0,2068.0,669.0,595.0,105.0,2906.0,1228.0,1220.0,8.0,3295.0,0.6413595232840432,0.2710218494813507,2.683224755700326,0.14764952549106158,0.15449128227764292,4.5721493440968715,0.8396264717823793
Jalgaon,jalgaon,Jalgaon (M),2018,3,1991,117125.6,524355.0,273555.8,250799.2,54795.4,41025.2,29823.6,410740.1,176162.4,162290.1,13872.3,348192.6,0.7833244652954582,0.3359601796492834,1.9765432351057888,0.10450057689923811,0.13511609501196706,4.476860737533041,0.916811853376898
Jalgaon,kandari,Kandari (Ct),2018,3,1991,3855.1,17165.7,8944.5,8221.2,1931.8,4807.9,1538.1,13677.8,6431.1,5291.9,1139.2,10734.6,0.7968099174516623,0.3746482811653472,1.6691701264169427,0.11253837594738343,0.3696907204483359,4.452724961738995,0.9191346637598525
Jalgaon,nimbhore bk.,Nimbhore Bk. (Ct),2018,1,1991,1862.0,8714.0,4587.0,4127.0,1606.0,1692.0,507.0,5956.0,2138.0,2138.0,0.0,6576.0,0.6834978196006426,0.24535230663300436,3.0757717492984096,0.18430112462703696,0.2523525361487262,4.679914070891514,0.8997165903640724
Jalgaon,pachora,Pachora (M),2018,3,1991,15176.1,69602.2,36170.9,33431.3,8040.4,7194.4,2626.1,51530.8,23611.1,19389.7,4221.4,45991.1,0.7403616552350357,0.33922921976604187,1.9478592695808328,0.11551933703245013,0.14109467804178605,4.5863034639993145,0.9242595567154813
Jalgaon,parola,Parola (M),2018,3,1991,8081.7,39672.9,20628.6,19044.3,4115.2,2387.3,845.3,31369.9,13968.0,12968.3,999.6999999999998,25704.9,0.7907135601380287,0.35207912706154576,1.840270618556701,0.1037282376634932,0.08148131344066101,4.908979546382568,0.9231988598353742
Jalgaon,raver,Raver (M),2018,3,1991,5406.2,27771.2,14134.2,13637.0,3407.0,2348.3,191.5,20170.1,8840.2,7948.8,891.4,18931.0,0.726295586794953,0.3183225787866567,2.1414673876156645,0.12268105087284668,0.09145445641527915,5.136916873219637,0.9648229118025781
