district,town_name,display_name,year,census_count,first_census,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P,literacy_rate,workforce_rate,dependency_ratio,child_ratio,sc_st_share,household_size,sex_ratio
Dhule,akkalkuwa,Akkalkuwa (Ct),2015,1,1991,1183.0,7711.0,4464.0,3247.0,1360.0,612.0,955.0,4846.0,1932.0,1821.0,111.0,5668.0,0.6284528595512904,0.2505511606795487,2.9337474120082816,0.17637141745558294,0.20321618467124886,6.518174133558749,0.7273745519713262
Dhule,dhule,Dhule (M),2015,3,1991,76358.8,389080.6,199715.6,189365.0,43898.8,30247.0,15863.0,306153.0,120942.2,112620.0,8322.2,268138.4,0.7868626706137495,0.31084099284312816,2.2170789021532604,0.11282700808007391,0.1185101493109654,5.095425805539112,0.948173302436064
Dhule,dondaicha,Dondaicha (M),2015,1,1991,5949.0,33641.0,17380.0,16261.0,5903.0,2314.0,4450.0,18684.0,10479.0,10058.0,421.0,22741.0,0.5553937160013079,0.3114949020540412,2.1701498234564367,0.17547040813293302,0.2010641776403793,5.654899983190452,0.9356156501726122
Dhule,nandurbar,Nandurbar (M),2015,1,1991,12977.0,78378.0,40808.0,37570.0,12393.0,5869.0,7665.0,50298.0,20366.0,19675.0,691.0,57321.0,0.6417362014851106,0.25984332338156113,2.814543847589119,0.15811834953685983,0.17267600602209804,6.039762657008554,0.9206528131738875
Dhule,nawapur,Nawapur (M),2015,1,1991,4223.0,23958.0,12353.0,11605.0,4110.0,1217.0,6677.0,13676.0,6959.0,6777.0,182.0,16817.0,0.5708322898405543,0.2904666499707822,2.4165828423624083,0.17155021287252692,0.32949327990650307,5.673218091404215,0.9394479073909172
Dhule,shahade,Shahade (M),2015,1,1991,5293.0,31890.0,16460.0,15430.0,5842.0,2094.0,3243.0,18860.0,8699.0,8671.0,28.0,23163.0,0.5914079648792725,0.27278143618689243,2.6627198528566502,0.18319222326748197,0.1673565380997178,6.024938598148498,0.9374240583232077
Dhule,shirpur,Shirpur (M),2015,1,1991,7532.0,44246.0,22888.0,21358.0,7726.0,3282.0,2711.0,25703.0,13367.0,12937.0,430.0,30449.0,0.5809112688152601,0.302106405098766,2.2779232438093815,0.17461465443203905,0.13544727206979162,5.874402549123738,0.9331527437958755
Dhule,talode,Talode (M),2015,1,1991,3876.0,21700.0,11066.0,10634.0,3582.0,1161.0,5381.0,11650.0,7163.0,6868.0,295.0,14242.0,0.5368663594470046,0.3300921658986175,1.9882730699427613,0.16506912442396313,0.3014746543778802,5.598555211558308,0.9609615037050425
Jalgaon,amalner,Amalner (M),2015,3,1991,20777.2,97795.6,50393.2,47402.4,9766.8,7253.0,6664.4,75970.8,35283.4,28628.8,6654.6,62512.2,0.7768324955314962,0.36078719287984323,1.771717011399128,0.09986952378225604,0.14231110602112979,4.706870993204089,0.940650722716557
Jalgaon,bhusawal,Bhusawal (M),2015,3,1991,40832.4,193440.6,98922.6,94518.0,19508.8,33703.600000000006,6481.4,154489.8,57478.2,49377.4,8100.8,135962.4,0.7986420637653108,0.29713617513593316,2.3654602962514484,0.10085163093993711,0.2077381893976756,4.737429100420255,0.9554742798915515
Jalgaon,chalisgaon,Chalisgaon (M),2015,3,1991,21200.8,100127.4,51980.2,48147.2,10751.8,10536.2,3777.2,77663.6,33071.8,28740.2,4331.6,67055.6,0.7756478246713687,0.3302972013654604,2.0275763641531457,0.10738119635584266,0.14295187930576447,4.722812346703898,0.9262603837615092
Jalgaon,chopda,Chopda (M),2015,3,1991,14992.599999999999,77550.2,39997.8,37552.4,9127.0,6177.4,6602.799999999999,58699.2,25438.4,20925.2,4513.2,52111.8,0.7569187442456629,0.328024943842827,2.0485486508585447,0.1176915082101658,0.16479905919004723,5.172565132131852,0.9388616373900565
Jalgaon,dharangaon,Dharangaon (M),2015,3,1991,7063.0,36075.0,18585.4,17489.6,4289.2,2049.6,1874.6,26103.4,13662.0,12203.8,1458.2,22413.0,0.7235869715869716,0.3787110187110187,1.6405357927097057,0.11889674289674289,0.10877893277893277,5.107603001557412,0.941039740871867
Jalgaon,erandol,Erandol (M),2015,2,1991,6497.4,31739.2,16340.8,15398.4,3781.8,1783.2,1820.8,21885.4,12032.8,10512.8,1520.0,19721.2,0.6895384886827646,0.37911478550183997,1.6389535270261288,0.11915234158390886,0.11355043605383879,4.884907809277558,0.9423284049740527
Jalgaon,faizpur,Faizpur (M),2015,3,1991,6002.0,27765.2,14218.2,13547.0,3524.2,2020.6000000000001,2454.6000000000004,20913.8,8562.2,7366.6,1195.6,19203.0,0.7532378661057727,0.30837883393600624,2.242764710004438,0.1269286733032717,0.16118018238658466,4.62599133622126,0.9527928992418168
Jalgaon,fekari,Fekari (Ct),2015,1,1991,991.0,4531.0,2463.0,2068.0,669.0,595.0,105.0,2906.0,1228.0,1220.0,8.0,3295.0,0.6413595232840432,0.2710218494813507,2.683224755700326,0.14764952549106158,0.15449128227764292,4.5721493440968715,0.8396264717823793
Jalgaon,jalgaon,Jalgaon (M),2015,3,1991,109512.20000000001,496872.0,259427.59999999998,237444.40000000002,54062.8,37690.399999999994,27463.199999999997,387009.2,164107.8,151381.2,12726.599999999999,332764.2,0.7788911429905488,0.3302818432111288,2.027717146899782,0.10880629216377659,0.1311275338517767,4.537138327967112,0.9152626782963726
Jalgaon,kandari,Kandari (Ct),2015,3,1991,3722.2,16817.4,8784.0,8033.4,1894.6,4406.799999999999,1489.2,13373.6,6031.200000000001,5004.8,1026.4,10786.2,0.7952239941964869,0.3586285632737522,1.788400318344608,0.1126571289259933,0.35058927063636464,4.518134436623503,0.9145491803278688
Jalgaon,nimbhore bk.,Nimbhore Bk. (Ct),2015,1,1991,1862.0,8714.0,4587.0,4127.0,1606.0,1692.0,507.0,5956.0,2138.0,2138.0,0.0,6576.0,0.6834978196006426,0.24535230663300436,3.0757717492984096,0.18430112462703696,0.2523525361487262,4.679914070891514,0.8997165903640724
Jalgaon,pachora,Pachora (M),2015,3,1991,13954.2,65319.399999999994,33936.8,31382.6,7709.8,6647.799999999999,2367.2,47872.600000000006,21993.199999999997,18105.4,3887.8,43326.2,0.7329001797322083,0.3367024191893985,1.9699816306858484,0.11803231505494541,0.13801412750270212,4.680984936434908,0.9247365691520708
Jalgaon,parola,Parola (M),2015,3,1991,7757.4,38812.8,20167.2,18645.6,4245.4,2303.6,830.6,29999.8,13530.0,12221.6,1308.3999999999999,25282.8,0.7729357325418418,0.3485963393519663,1.8686474501108647,0.10938144117404566,0.08075171077582652,5.003325856601439,0.9245507556824942
Jalgaon,raver,Raver (M),2015,3,1991,5200.4,27457.4,14009.4,13448.0,3518.0,2219.6,244.0,19560.2,8679.4,7869.6,809.8,18778.0,0.7123835468762519,0.31610421962749563,2.163513606931355,0.12812575116362074,0.08972444586887322,5.279863087454812,0.9599269062201093
Jalgaon,savda,Savda (M),2015,3,1991,4608.6,21084.8,10893.4,10191.4,2622.4,2335.3999999999996,990.6,15423.0,6788.6,6437.6,351.0,14296.2,0.7314748064956746,0.3219665351343148,2.10591285390213,0.12437395659432388,0.15774396721809075,4.575098728464175,0.9355573099307838
Jalgaon,varangaon,Varangaon (Ct),2015,2,1991,8052.2,35764.4,18524.4,17240.0,4041.2,5677.6,1066.2,27622.8,11964.2,9541.4,2422.8,23837.4,0.772354631980405,0.33452819004373063,1.9923939753598234,0.11299504535236156,0.18856181006811243,4.4415687638161,0.9306644209798968
Jalgaon,yawal,Yawal (M),2015,3,1991,8049.799999999999,38667.2,19985.4,18681.8,4816.6,2955.4,2921.6000000000004,27059.4,13459.4,11671.6,1787.8,25207.8,0.6998024165183929,0.3480831298878636,1.8728769484523826,0.12456552323416231,0.15198928290644267,4.803498223558349,0.9347723838402032
Buldana,buldana,Buldana (M),2015,3,1991,14724.0,69214.6,35212.0,34002.6,7568.0,13130.4,1523.2,56323.4,22009.0,19848.0,2161.0,47205.6,0.8137502781205121,0.3179820442507794,2.144831659775546,0.10934109277522372,0.21171255775515568,4.700801412659604,0.9656537544019084
Buldana,chikhli,Chikhli (M),2015,3,1991,12936.8,61673.4,31849.0,29824.4,6877.4,10915.8,493.0,49569.8,20645.8,18641.8,2004.0,41027.6,0.8037468341294627,0.33476020456144784,1.9872128956010424,0.11151322936630702,0.184987368946742,4.767284026961845,0.9364312851266916
Buldana,deulgaon raja,Deulgaon Raja (M),2015,3,1991,6558.4,33409.0,17282.4,16126.599999999999,4174.2,4025.2000000000003,179.60000000000002,26058.0,11168.0,10698.8,469.20000000000005,22241.0,0.7799694693046784,0.33428118171750126,1.991493553008596,0.124942380795594,0.12585830165524262,5.094077823859478,0.9331227144378094
Buldana,jalgaon (jamod),Jalgaon (Jamod) (M),2015,3,1991,5697.8,29073.6,14928.0,14145.6,3495.4,3037.8,561.4,22895.2,10178.6,9366.2,812.4,18895.0,0.7874910571790216,0.3500976831214573,1.8563456663981293,0.12022590941610259,0.1237961587144351,5.102601003896241,0.9475884244372991
Buldana,khamgaon,Khamgaon (M),2015,3,1991,20425.4,96392.6,49342.0,47050.6,9963.8,12940.599999999999,1268.6,80712.8,31565.4,28372.0,3193.3999999999996,64827.2,0.8373339862188591,0.3274670462255401,2.053742388818136,0.10336685596197218,0.14740965592794467,4.719251520166067,0.9535608609298366
Buldana,lonar,Lonar (M),2015,3,1991,5036.4,24749.6,12804.4,11945.2,3218.4,2912.8,868.4000000000001,19035.2,9429.4,8138.0,1291.4,15320.2,0.7691114199825453,0.38099201603258237,1.6247269179375148,0.13003846526812557,0.1527782267188157,4.914145024223652,0.932898066289713
Buldana,malkapur,Malkapur (M),2015,3,1991,13823.8,70431.2,36011.0,34420.2,8767.6,4901.8,546.4,55617.2,22702.0,17918.6,4783.4,47729.2,0.7896670793625552,0.32232874067174777,2.1024226940357678,0.1244846034143959,0.07735492225036632,5.094923248310884,0.9558246091472049
Buldana,mehkar,Mehkar (M),2015,3,1991,9858.8,48261.2,24794.8,23466.4,6011.8,8982.0,478.2,37465.2,17277.0,15737.599999999999,1539.4,30984.2,0.7763006307344202,0.35798944079301803,1.7933784800601957,0.12456797593097561,0.1960208200376286,4.895240800097375,0.9464242502460194
