district,town_name,display_name,year,census_count,first_census,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P,literacy_rate,workforce_rate,dependency_ratio,child_ratio,sc_st_share,household_size,sex_ratio
Dhule,akkalkuwa,Akkalkuwa (Ct),2022,1,1991,1183.0,7711.0,4464.0,3247.0,1360.0,612.0,955.0,4846.0,1932.0,1821.0,111.0,5668.0,0.6284528595512904,0.2505511606795487,2.9337474120082816,0.17637141745558294,0.20321618467124886,6.518174133558749,0.7273745519713262
Dhule,dhule,Dhule (M),2022,3,1991,83853.7,412743.4,210687.4,202056.0,42258.7,32000.5,16958.5,333425.0,133222.3,125304.0,7918.3,279521.1,0.807826363789221,0.32277269606249304,2.098155488983451,0.10238492002537168,0.11861849274876352,4.922184709798137,0.9590321965148367
Dhule,dondaicha,Dondaicha (M),2022,1,1991,5949.0,33641.0,17380.0,16261.0,5903.0,2314.0,4450.0,18684.0,10479.0,10058.0,421.0,22741.0,0.5553937160013079,0.3114949020540412,2.1701498234564367,0.17547040813293302,0.2010641776403793,5.654899983190452,0.9356156501726122
Dhule,nandurbar,Nandurbar (M),2022,1,1991,12977.0,78378.0,40808.0,37570.0,12393.0,5869.0,7665.0,50298.0,20366.0,19675.0,691.0,57321.0,0.6417362014851106,0.25984332338156113,2.814543847589119,0.15811834953685983,0.17267600602209804,6.039762657008554,0.9206528131738875
Dhule,nawapur,Nawapur (M),2022,1,1991,4223.0,23958.0,12353.0,11605.0,4110.0,1217.0,6677.0,13676.0,6959.0,6777.0,182.0,16817.0,0.5708322898405543,0.2904666499707822,2.4165828423624083,0.17155021287252692,0.32949327990650307,5.673218091404215,0.9394479073909172
Dhule,shahade,Shahade (M),2022,1,1991,5293.0,31890.0,16460.0,15430.0,5842.0,2094.0,3243.0,18860.0,8699.0,8671.0,28.0,23163.0,0.5914079648792725,0.27278143618689243,2.6627198528566502,0.18319222326748197,0.1673565380997178,6.024938598148498,0.9374240583232077
Dhule,shirpur,Shirpur (M),2022,1,1991,7532.0,44246.0,22888.0,21358.0,7726.0,3282.0,2711.0,25703.0,13367.0,12937.0,430.0,30449.0,0.5809112688152601,0.302106405098766,2.2779232438093815,0.17461465443203905,0.13544727206979162,5.874402549123738,0.9331527437958755
Dhule,talode,Talode (M),2022,1,1991,3876.0,21700.0,11066.0,10634.0,3582.0,1161.0,5381.0,11650.0,7163.0,6868.0,295.0,14242.0,0.5368663594470046,0.3300921658986175,1.9882730699427613,0.16506912442396313,0.3014746543778802,5.598555211558308,0.9609615037050425
Jalgaon,amalner,Amalner (M),2022,3,1991,22588.8,100948.4,51844.3,49104.1,9047.2,7267.0,7589.1,80970.2,39596.1,31584.199999999997,8011.9,61352.3,0.8020949316680601,0.392240986484184,1.5494531027045595,0.08962202471757849,0.14716528444234878,4.468958067714974,0.947145587846687
Jalgaon,bhusawal,Bhusawal (M),2022,3,1991,44620.1,203974.9,103779.9,100195.0,18999.2,42736.4,7105.1,165607.2,63363.8,53046.1,10317.7,140611.1,0.8118998955263614,0.3106450842726238,2.2191077555323386,0.09314479379570723,0.24435114320438447,4.571368060582563,0.9654567021166912
Jalgaon,chalisgaon,Chalisgaon (M),2022,3,1991,23407.2,104636.1,54155.8,50480.3,10165.2,11175.3,4318.3,83633.9,36107.7,31570.300000000003,4537.4,68528.4,0.7992834213048842,0.34507880167552113,1.897888815958923,0.09714811618552296,0.14807126794672198,4.470252742745822,0.9321309998190406
Jalgaon,chopda,Chopda (M),2022,3,1991,17053.4,85892.8,44192.2,41700.6,9435.0,7469.6,7923.7,68035.8,28421.1,23391.3,5029.8,57471.7,0.7921013169904811,0.3308903656651081,2.022149037159012,0.10984622692472477,0.17921525436357877,5.036696494540678,0.9436190096894927
Jalgaon,dharangaon,Dharangaon (M),2022,3,1991,7605.5,37300.0,19240.6,18059.4,4074.3,2178.4,2101.4,28221.6,14733.0,13314.7,1418.3,22567.0,0.7566112600536192,0.3949865951742627,1.5317314871377181,0.10923056300268097,0.11473994638069705,4.904345539412267,0.9386089830878457
