district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Washim,06,DISTRICT,Total,Washim,,259464,1197160,620302,576858,152190,229462,80471,869917,569792,502755,67037,627368
Washim,06,DISTRICT,Urban,Washim,,41061,211413,108575,102838,26607,29275,3067,163161,69220,62166,7054,142193
Washim,06,DISTRICT,Rural,Washim,,218403,985747,511727,474020,125583,200187,77404,706756,500572,440589,59983,485175
Washim,06,TOWN,Urban,Mangrulpir (M Cl),802679,5830,30983,15963,15020,3839,3312,552,24336,10358,8143,2215,20625
Washim,06,TOWN,Urban,Karanja (M Cl),802680,13095,67907,34703,33204,8395,6317,894,52791,21906,20451,1455,46001
Washim,06,TOWN,Urban,Washim (M Cl),802681,15393,78387,40262,38125,9802,14837,1129,61105,25088,23050,2038,53299
Washim,06,TOWN,Urban,Risod (M Cl),802682,6743,34136,17647,16489,4571,4809,492,24929,11868,10522,1346,22268
