district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Raigarh,24,DISTRICT,Total,Raigarh,,611790,2634200,1344345,1289855,300815,134952,305125,1939994,1072969,858825,214144,1561231
Raigarh,24,DISTRICT,Urban,Raigarh,,230586,970195,507349,462846,112011,70614,34357,777103,358413,319547,38866,611782
Raigarh,24,DISTRICT,Rural,Raigarh,,381204,1664005,836996,827009,188804,64338,270768,1162891,714556,539278,175278,949449
Raigarh,24,TOWN,Urban,Uran (M Cl),802795,7229,30439,15549,14890,3178,2114,592,24911,11197,10186,1011,19242
Raigarh,24,TOWN,Urban,Kegaon (Ct),553350,1840,7485,4084,3401,833,646,85,6254,2810,2342,468,4675
Raigarh,24,TOWN,Urban,Navghar (Ct),553351,1625,6603,3468,3135,762,596,272,5292,2514,2011,503,4089
Raigarh,24,TOWN,Urban,Chanje (Ct),553352,3864,16714,8723,7991,1870,770,1162,12033,6586,4820,1766,10128
Raigarh,24,TOWN,Urban,Jasai (Ct),553353,2133,8234,4520,3714,1380,818,214,5587,3220,2982,238,5014
Raigarh,24,TOWN,Urban,Panvel (M Cl),802796,43107,180020,92484,87536,18459,14464,4301,151693,67994,61532,6462,112026
Raigarh,24,TOWN,Urban,Talode Panchnad (Ct),553512,2749,14318,7668,6650,2570,567,336,10331,4319,4030,289,9999
Raigarh,24,TOWN,Urban,Kharghar (Ct),553513,20737,80612,42001,38611,9488,5750,1534,66574,31350,27643,3707,49262
Raigarh,24,TOWN,Urban,Navi Mumbai Panvel Raigarh (Ct),553514,46920,195373,107342,88031,26873,14989,4793,150137,75042,67522,7520,120331
Raigarh,24,TOWN,Urban,Palidevad (Ct),553515,2193,9194,4913,4281,1124,1142,297,7517,3223,3088,135,5971
Raigarh,24,TOWN,Urban,Vadghar (Ct),553516,1700,7341,3873,3468,1216,443,248,4968,2796,2042,754,4545
Raigarh,24,TOWN,Urban,Owle (Ct),553517,947,4275,2202,2073,629,229,156,3044,1357,1238,119,2918
Raigarh,24,TOWN,Urban,Kalundre (Ct),553518,1672,6626,3515,3111,841,372,218,5074,2419,2186,233,4207
Raigarh,24,TOWN,Urban,Matheran (M Cl),802797,977,4393,2248,2145,412,623,183,3525,1647,1557,90,2746
Raigarh,24,TOWN,Urban,Karjat (M Cl),802798,6820,29663,15248,14415,3039,3693,1418,23531,10350,9287,1063,19313
Raigarh,24,TOWN,Urban,Neral (Ct),553695,4075,18429,9242,9187,2073,1251,2881,14036,6517,5838,679,11912
Raigarh,24,TOWN,Urban,Khopoli (M Cl),802799,16266,71141,37305,33836,8278,6721,3065,55081,25530,23071,2459,45611
Raigarh,24,TOWN,Urban,Ambivali T. Tungartan (Ct),553817,1611,6497,3526,2971,690,688,397,5262,2340,1911,429,4157
Raigarh,24,TOWN,Urban,Mohpada Alias Wasambe (Ct),553818,2360,9694,5118,4576,1155,486,568,7667,3489,3204,285,6205
Raigarh,24,TOWN,Urban,Rees (Ct),553819,1983,8632,4555,4077,772,730,121,7299,3132,2740,392,5500
Raigarh,24,TOWN,Urban,Pen (M Cl),802800,9070,37852,19257,18595,3910,2050,945,31022,13725,12586,1139,24127
Raigarh,24,TOWN,Urban,Dadar (Ct),553989,1202,5389,2820,2569,774,0,1,3418,1571,601,970,3818
Raigarh,24,TOWN,Urban,Zotirpada (Ct),553990,837,3389,1793,1596,210,234,143,2941,1156,979,177,2233
Raigarh,24,TOWN,Urban,Alibag (M Cl),802801,4985,20743,10646,10097,1833,1192,2735,17431,8591,7666,925,12152
Raigarh,24,TOWN,Urban,Ambepur (Ct),554203,1218,5035,2593,2442,471,308,75,4117,2819,2469,350,2216
Raigarh,24,TOWN,Urban,Chendhare (Ct),554204,2834,11039,5590,5449,901,1079,405,9671,4658,4245,413,6381
Raigarh,24,TOWN,Urban,Kurul (Ct),554205,1233,4869,2535,2334,564,368,164,3856,1841,1625,216,3028
Raigarh,24,TOWN,Urban,Murud Janjira (M Cl),802802,2771,12216,5992,6224,1044,247,1536,10229,4211,3614,597,8005
Raigarh,24,TOWN,Urban,Roha Ashtami (M Cl),802803,4745,20849,10590,10259,2093,471,277,17567,6769,6521,248,14080
Raigarh,24,TOWN,Urban,Nagothane (Ct),554446,2873,12549,6520,6029,1598,612,421,9604,4389,3577,812,8160
Raigarh,24,TOWN,Urban,Bhuwaneshwar (Ct),554447,2178,8871,4661,4210,874,507,209,7414,2926,2530,396,5945
Raigarh,24,TOWN,Urban,Dhatau (Ct),554448,1232,5066,2874,2192,560,348,323,3789,2185,1658,527,2881
Raigarh,24,TOWN,Urban,Pali (Ct),554547,2167,9176,4703,4473,895,334,657,7458,3173,2951,222,6003
Raigarh,24,TOWN,Urban,Utekhol (Ct),554733,2593,11380,5943,5437,1279,1250,1207,9094,4032,3749,283,7348
Raigarh,24,TOWN,Urban,Goregaon (Ct),554734,1548,7155,3488,3667,740,619,69,5862,2181,1933,248,4974
