district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Yavatmal,14,DISTRICT,Total,Yavatmal,,646886,2772348,1419965,1352383,330180,328518,514057,2022574,1355999,1195100,160899,1416349
Yavatmal,14,DISTRICT,Urban,Yavatmal,,131384,598153,304817,293336,64879,78718,40305,486539,202677,183545,19132,395476
Yavatmal,14,DISTRICT,Rural,Yavatmal,,515502,2174195,1115148,1059047,265301,249800,473752,1536035,1153322,1011555,141767,1020873
Yavatmal,14,TOWN,Urban,Ner (M Cl),802726,6585,29302,14762,14540,3311,3281,589,23540,10515,8751,1764,18787
Yavatmal,14,TOWN,Urban,Yavatmal (M Cl),802727,26173,116551,58549,58002,11360,19816,6543,96726,39237,36500,2737,77314
Yavatmal,14,TOWN,Urban,Pimpalgaon (Ct),542500,2009,8317,4205,4112,827,1451,552,6916,2962,2383,579,5355
Yavatmal,14,TOWN,Urban,Yavatmal (R) (Ct),542501,3126,14766,7571,7195,1904,384,290,12266,4433,4114,319,10333
Yavatmal,14,TOWN,Urban,Waghapur (Ct),542502,3054,12684,6510,6174,1230,3255,1577,10796,4476,4176,300,8208
Yavatmal,14,TOWN,Urban,Lohara (Ct),542503,5585,22664,11654,11010,2437,4160,3433,18529,8327,7476,851,14337
Yavatmal,14,TOWN,Urban,Umarsara (Ct),542504,5292,21752,11138,10614,1941,3986,2242,18807,7637,6338,1299,14115
Yavatmal,14,TOWN,Urban,Wadgaon Road (Ct),542505,9909,40884,20923,19961,3647,3847,3197,35366,14329,12786,1543,26555
Yavatmal,14,TOWN,Urban,Darwha (M Cl),802728,5038,25791,13341,12450,3024,1895,524,20693,8579,8277,302,17212
Yavatmal,14,TOWN,Urban,Deogiri (Ct),542651,1815,8303,4319,3984,783,1399,716,7009,2562,2466,96,5741
Yavatmal,14,TOWN,Urban,Digras (M Cl),802729,9064,44767,22780,21987,5219,4377,3100,34421,13773,13195,578,30994
Yavatmal,14,TOWN,Urban,Pusad (M Cl),802730,14905,73046,37366,35680,8673,10194,3453,58794,23433,21864,1569,49613
Yavatmal,14,TOWN,Urban,Shrirampur (Ct),542919,2240,9949,5112,4837,1064,966,480,8287,3287,2744,543,6662
Yavatmal,14,TOWN,Urban,Umarkhed (M Cl),802731,9220,47458,24268,23190,6508,5196,1407,36145,14937,13166,1771,32521
Yavatmal,14,TOWN,Urban,Ghatanji (M Cl),802732,4848,21293,11026,10267,2191,2397,2222,17202,8130,7707,423,13163
Yavatmal,14,TOWN,Urban,Pandharkaoda (M Cl),802733,6895,31094,15681,15413,3205,2744,4325,25094,11099,10184,915,19995
Yavatmal,14,TOWN,Urban,Wani (M Cl),802734,13308,58840,29973,28867,6298,6753,4361,48042,20820,18070,2750,38020
Yavatmal,14,TOWN,Urban,Rajur (Ct),544100,2318,10692,5639,5053,1257,2617,1294,7906,4141,3348,793,6551
