district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Nashik,20,DISTRICT,Total,Nashik,,1222887,6107187,3157186,2950001,827935,554687,1564369,4345366,2763328,2523023,240305,3343859
Nashik,20,DISTRICT,Urban,Nashik,,545577,2597373,1352474,1244899,331875,323516,165089,2018934,901970,834938,67032,1695403
Nashik,20,DISTRICT,Rural,Nashik,,677310,3509814,1804712,1705102,496060,231171,1399280,2326432,1861358,1688085,173273,1648456
Nashik,20,TOWN,Urban,Surgana (Ct),549783,1218,6263,3195,3068,835,255,3275,4687,2307,1750,557,3956
Nashik,20,TOWN,Urban,Satana (M Cl),802771,7800,37701,19449,18252,4257,2293,4528,30008,13091,12062,1029,24610
Nashik,20,TOWN,Urban,Malegaon (M Corp. + Og),802772,80415,481228,244080,237148,77969,19179,7970,352622,143958,136656,7302,337270
Nashik,20,TOWN,Urban,Malegaon (M Corp.),802772,78501,471312,238868,232444,76585,18106,6320,345816,139904,133104,6800,331408
Nashik,20,TOWN,Urban,Dyane (Ct),550299,8371,49192,25181,24011,9179,3031,964,32565,16027,15148,879,33165
Nashik,20,TOWN,Urban,Soyagaon (Ct),550300,7336,34341,18070,16271,3627,2143,1942,28172,11977,11124,853,22364
Nashik,20,TOWN,Urban,Sangameshwar (Ct),550301,2226,10815,5634,5181,1154,794,245,8879,3512,3326,186,7303
Nashik,20,TOWN,Urban,Maldhe (Ct),550302,1961,11881,6071,5810,2332,53,543,7711,3540,3446,94,8341
Nashik,20,TOWN,Urban,Nandgaon (M Cl),802773,4805,23604,12130,11474,2824,4297,1100,18482,7993,7419,574,15611
Nashik,20,TOWN,Urban,Manmad (M Cl),802774,16077,80058,40816,39242,9605,21331,4022,63257,26151,23684,2467,53907
Nashik,20,TOWN,Urban,Chandvad (Ct),550516,4945,25341,13284,12057,3086,2930,3297,19611,9946,8551,1395,15395
Nashik,20,TOWN,Urban,Trimbak (M Cl),802775,2266,12056,6170,5886,1338,713,4314,9604,4255,3758,497,7801
Nashik,20,TOWN,Urban,Nashik (M Corp.),802776,336333,1486053,782517,703536,174476,214620,107456,1178446,534821,495978,38843,951232
Nashik,20,TOWN,Urban,Deolali (Cb),802777,11696,54027,28269,25758,6085,11540,1982,43172,18845,17283,1562,35182
Nashik,20,TOWN,Urban,Bhagur (M Cl),802778,2545,12353,6201,6152,1339,2442,717,10146,4048,3614,434,8305
Nashik,20,TOWN,Urban,Samangaon (Ct),551018,1027,5156,2693,2463,680,2094,283,3763,2190,2040,150,2966
Nashik,20,TOWN,Urban,Vilholi (Ct),551019,1403,6798,3558,3240,1102,1501,2165,4401,2869,2633,236,3929
Nashik,20,TOWN,Urban,Sansari (Ct),551020,1230,5780,2999,2781,650,994,364,4605,2333,2002,331,3447
Nashik,20,TOWN,Urban,Eklahare (Ct),551021,2055,9376,4934,4442,1021,2767,953,7456,3839,3520,319,5537
Nashik,20,TOWN,Urban,Igatpuri (M Cl),802779,6297,30989,15748,15241,3363,6848,3383,24699,9746,7763,1983,21243
Nashik,20,TOWN,Urban,Ghoti Bk. (Ct),551139,4933,24838,12785,12053,3211,2100,2427,18610,9003,7508,1495,15835
Nashik,20,TOWN,Urban,Sinnar (M Cl),802780,14398,65299,34633,30666,8565,5593,4517,49583,25023,23056,1967,40276
Nashik,20,TOWN,Urban,Ozar (Ct),551404,11615,51297,26671,24626,6337,8948,5798,40450,20101,18507,1594,31196
Nashik,20,TOWN,Urban,Lasalgaon (Ct),551405,3642,17360,8884,8476,2078,2315,625,13877,6638,6124,514,10722
Nashik,20,TOWN,Urban,Pimpalgaon Najik (Ct),551406,1185,5741,2920,2821,757,818,661,4327,2810,2247,563,2931
Nashik,20,TOWN,Urban,Yevla (M Cl),802781,9798,49826,25582,24244,6005,3917,1558,39801,16947,15739,1208,32879
