district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Gondiya,11,DISTRICT,Total,Gondiya,,249720,1200707,598834,601873,171191,167699,196455,808414,579596,391890,187706,621111
Gondiya,11,DISTRICT,Urban,Gondiya,,27702,143431,72812,70619,17283,28362,6097,112371,45835,40478,5357,97596
Gondiya,11,DISTRICT,Rural,Gondiya,,222018,1057276,526022,531254,153908,139337,190358,696043,533761,351412,182349,523515
Gondiya,11,TOWN,Urban,Tirora (M Cl),41101000,4338,22529,11394,11135,2809,4690,1304,16801,8054,6598,1456,14475
Gondiya,11,TOWN,Urban,Gondiya (M Cl),41102000,23364,120902,61418,59484,14474,23672,4793,95570,37781,33880,3901,83121
