district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Bid,27,DISTRICT,Total,Bid,,414973,2161250,1116356,1044894,335283,281240,24193,1241434,957584,830658,126926,1203666
Bid,27,DISTRICT,Urban,Bid,,69121,387070,201285,185785,56989,47376,5111,264148,105413,95710,9703,281657
Bid,27,DISTRICT,Rural,Bid,,345852,1774180,915071,859109,278294,233864,19082,977286,852171,734948,117223,922009
Bid,27,TOWN,Urban,Georai (M Cl),42701000,5207,28492,14760,13732,4130,3223,359,18933,8595,7693,902,19897
Bid,27,TOWN,Urban,Manjlegaon (M Cl),42702000,7541,44029,22652,21377,6952,4480,486,27761,12070,11285,785,31959
Bid,27,TOWN,Urban,Bid (M Cl),42703000,24705,138196,71827,66369,20637,12981,1488,98105,36287,33917,2370,101909
Bid,27,TOWN,Urban,Dharur (M Cl),42704000,3240,18338,9543,8795,2885,2526,240,11661,5657,4838,819,12681
Bid,27,TOWN,Urban,Parli (M Cl),42706000,15920,88537,46078,42459,12882,13034,1623,59076,23810,20546,3264,64727
Bid,27,TOWN,Urban,Ambejogai (M Cl),42705000,12508,69478,36425,33053,9503,11132,915,48612,18994,17431,1563,50484
