district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Gadchiroli,12,DISTRICT,Total,Gadchiroli,,210362,970294,491101,479193,154744,108824,371696,490121,497104,336959,160145,473190
Gadchiroli,12,DISTRICT,Urban,Gadchiroli,,14979,67261,34454,32807,9173,11077,7150,48197,24325,17924,6401,42936
Gadchiroli,12,DISTRICT,Rural,Gadchiroli,,195383,903033,456647,446386,145571,97747,364546,441924,472779,319035,153744,430254
Gadchiroli,12,TOWN,Urban,Desaiganj (M Cl),41201000,5287,24793,12696,12097,3366,4790,1669,17082,9893,6478,3415,14900
Gadchiroli,12,TOWN,Urban,Gadchiroli (M Cl),41202000,9692,42468,21758,20710,5807,6287,5481,31115,14432,11446,2986,28036
