district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Mumbai Suburban,22,DISTRICT,Total,Mumbai Suburban,,1838426,8640419,4741720,3898699,1024700,401569,70454,6617264,3152509,2971039,181470,5487910
Mumbai Suburban,22,DISTRICT,Urban,Mumbai Suburban,,1838426,8640419,4741720,3898699,1024700,401569,70454,6617264,3152509,2971039,181470,5487910
Mumbai Suburban,22,DISTRICT,Rural,Mumbai Suburban,,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai Suburban,22,TOWN,Urban,Greater Mumbai (M Corp.) (Part),42201000,1838426,8640419,4741720,3898699,1024700,401569,70454,6617264,3152509,2971039,181470,5487910
