district,mean_radiance,median_radiance,pixel_count,min_radiance,max_radiance,std_radiance,year
Gondiya,0.6800159786601588,0.3180777430534363,12216,-0.02500062622129917,137.86441040039062,3.1466417702903273,2012
Bhandara,0.5374893110692989,0.31705939769744873,10397,0.031875114887952805,16.980112075805664,0.8082396237612486,2012
Jalgaon,0.7391335163540919,0.37035390734672546,27860,0.06271912157535553,36.65583038330078,1.4121638190550179,2012
Wardha,0.6626617303330383,0.3531256318092346,13557,0.019686641171574593,55.54313278198242,1.6689210812387814,2012
Buldana,0.5162754785549021,0.3256756365299225,23123,0.054624397307634354,16.361934661865234,0.6978132940466079,2012
Akola,0.7058725133514058,0.36835166811943054,15401,0.055446282029151917,22.83207130432129,1.332432962078663,2012
Nashik,1.2553083535388094,0.5076581239700317,33613,0.04684613645076752,56.868797302246094,3.3909803014299063,2012
Gadchiroli,0.37528750011033823,0.2178947925567627,14161,-0.05678825452923775,11.206930160522461,0.574196173184323,2012
Washim,0.4541210283320399,0.2947203814983368,12241,0.049919914454221725,15.021743774414062,0.6572506841305352,2012
Chandrapur,0.9697627424951787,0.34041130542755127,19704,-0.0072975181974470615,50.62672424316406,2.460824473381829,2012
Yavatmal,0.5406373605430542,0.3106998801231384,34352,0.016737502068281174,19.737388610839844,0.8825922773345872,2012
Jalna,0.6393899579953087,0.3262188136577606,19291,0.06242150813341141,34.885704040527344,1.566422053498316,2012
Ahmadnagar,0.7498937053809797,0.49537765979766846,50567,0.0951383039355278,40.39839553833008,1.1377953598255892,2012
Hingoli,0.5223090335448224,0.3062033951282501,11289,0.03133339434862137,24.03558921813965,1.010156058356741,2012
Nanded,0.5954311805284711,0.2792949676513672,26922,0.03608981519937515,56.456748962402344,1.6700474348032375,2012
Parbhani,0.6976208254066601,0.3285258412361145,14324,0.08378144353628159,34.165958404541016,1.7499749910777895,2012
Pune,1.9375925754489909,0.7126109600067139,48609,0.12051883339881897,50.65975570678711,4.061720874037141,2012
Bid,0.6510081273369339,0.38431188464164734,28884,0.032839398831129074,26.289018630981445,1.239706000066433,2012
Mumbai,19.364930039502504,11.45882797241211,799,0.6476321220397949,72.28773498535156,17.343933206743788,2012
Latur,0.5251948299490427,0.26809796690940857,16190,0.02998022362589836,16.521215438842773,1.046705712627895,2012
Osmanabad,0.4926710439019518,0.2883487939834595,17522,0.03308338671922684,18.19852638244629,0.7375017367427159,2012
Solapur,0.9142050977965237,0.5532981157302856,47062,0.050458021461963654,47.050201416015625,1.7634399023867293,2012
Satara,0.6603176379884057,0.4019763469696045,20398,0.0915038213133812,32.03313064575195,1.1908656665380726,2012
Ratnagiri,0.9642879738887858,0.3951273560523987,4044,0.09345326572656631,34.39215087890625,2.0884928104231317,2012
Sangli,0.7989999717044461,0.4064715504646301,16014,0.08494701981544495,38.45974349975586,1.6912906011828952,2012
Kolhapur,1.0894861778846154,0.4950371980667114,11050,0.05993767827749252,31.085683822631836,2.137020654413889,2012
Sindhudurg,0.4711801485192859,0.3161863386631012,2006,0.06075364351272583,4.847001552581787,0.48179356048093896,2012
Thane,4.8234040454661775,1.223647952079773,11723,0.1449614316225052,66.32946014404297,9.07221127588809,2012
Palghar,1.6217009087449619,0.6960217952728271,11661,0.09472612291574478,42.49043273925781,2.9964468210488033,2012
Nandurbar,0.5857024715503111,0.37815943360328674,11896,0.07984819263219833,21.336925506591797,0.9488303001455791,2012
Amravati,0.7474461824203366,0.3697481155395508,25137,0.04846356064081192,44.54654312133789,1.8819023274413684,2012
Dhule,0.7298636668340313,0.34134751558303833,11701,0.06481786072254181,29.56496238708496,1.7605761114409133,2012
Nagpur,1.8813295954255032,0.483663946390152,25981,0.013089008629322052,102.06088256835938,5.425982451055444,2012
Aurangabad,1.0929576553682117,0.39091843366622925,21618,0.029549794271588326,52.94911575317383,3.0054212237091833,2012
Raigarh,2.3056516025860887,0.8268502950668335,14578,0.08930454403162003,150.87582397460938,5.315443721972542,2012
Mumbai Suburban,18.50219429347826,14.62041187286377,2300,0.9220189452171326,167.6095733642578,16.679770735976746,2012
Gondiya,0.7802925295781181,0.3883325159549713,9028,0.08586949855089188,106.22516632080078,2.978461228702698,2013
Bhandara,0.6124225294941047,0.37366974353790283,8863,0.09381397068500519,17.680482864379883,0.8948497852959186,2013
Jalgaon,0.7422479540454425,0.3751913905143738,26363,0.09776505082845688,43.28517150878906,1.443434971497029,2013
Wardha,0.8002496604569623,0.4244188964366913,12977,0.10739145427942276,108.11038208007812,2.3287457832546434,2013
