district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Jalgaon,03,DISTRICT,Total,Jalgaon,,596838,3187634,1642873,1544761,551835,295047,313551,1694799,1279877,1192465,87412,1820345
Jalgaon,03,DISTRICT,Urban,Jalgaon,,158033,874669,455248,419421,141949,81715,33708,558173,247145,240715,6430,621094
Jalgaon,03,DISTRICT,Rural,Jalgaon,,438805,2312965,1187625,1125340,409886,213332,279843,1136626,1032732,951750,80982,1199251
Jalgaon,03,TOWN,Urban,Amalner (M),113000,13266,76442,39499,36943,11768,5815,3676,49051,20549,20017,532,55361
Jalgaon,03,TOWN,Urban,Bhusawal (M),300100,26214,145143,75416,69727,21748,20538,4912,101656,35724,35005,719,108700
Jalgaon,03,TOWN,Urban,Chalisgaon (M),109000,13321,77420,40401,37019,13129,7507,2231,49767,19988,19378,610,56822
Jalgaon,03,TOWN,Urban,Chopda (M),100000,8270,49234,25476,23758,7925,3549,2183,28472,15560,14791,769,32905
Jalgaon,03,TOWN,Urban,Dharangaon (M),111000,5649,32972,16685,16287,5273,2059,1219,18764,10225,9679,546,22201
Jalgaon,03,TOWN,Urban,Erandol (M),112000,4923,27730,14296,13434,4587,1554,1474,15487,10066,9992,74,17590
Jalgaon,03,TOWN,Urban,Faizpur (M),102000,3958,21322,11144,10178,3514,1217,1564,13374,6562,6362,200,14560
Jalgaon,03,TOWN,Urban,Fekari (Ct),107000,991,4531,2463,2068,669,595,105,2906,1228,1220,8,3295
Jalgaon,03,TOWN,Urban,Jalgaon (M),310000,45663,242193,127022,115171,40029,17245,10477,158946,66859,66355,504,174830
Jalgaon,03,TOWN,Urban,Kandari (Ct),300200,2806,14656,7989,6667,2187,2791,660,10101,4107,4052,55,10494
Jalgaon,03,TOWN,Urban,Nimbhore Bk. (Ct),106000,1862,8714,4587,4127,1606,1692,507,5956,2138,2138,0,6576
Jalgaon,03,TOWN,Urban,Pachora (M),108000,7186,41142,21211,19931,7542,4171,1149,23994,12259,11900,359,28524
Jalgaon,03,TOWN,Urban,Parola (M),110000,5070,29191,15005,14186,5175,1736,708,16511,9621,8620,1001,18569
Jalgaon,03,TOWN,Urban,Raver (M),103000,4066,23920,12365,11555,4271,1699,460,12413,7627,7357,270,16023
Jalgaon,03,TOWN,Urban,Savda (M),104000,3298,17674,9179,8495,2663,1749,693,10927,6103,5911,192,11379
Jalgaon,03,TOWN,Urban,Varangaon (Ct),105000,6437,33644,17688,15956,4862,5362,909,23808,9425,9239,186,24033
Jalgaon,03,TOWN,Urban,Yawal (M),101000,5053,28741,14822,13919,5001,2436,781,16040,9104,8699,405,19232
