district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Raigarh,24,DISTRICT,Total,Raigarh,,373126,1824816,907907,916909,305993,50999,233953,971290,720103,639658,80445,1024268
Raigarh,24,DISTRICT,Urban,Raigarh,,68685,328640,172519,156121,49529,15318,21191,221511,105485,102425,3060,220095
Raigarh,24,DISTRICT,Rural,Raigarh,,304441,1496176,735388,760788,256464,35681,212762,749779,614618,537233,77385,804173
Raigarh,24,TOWN,Urban,Alibag (M),100000,3409,16289,8417,7872,2079,1029,2435,11862,5399,5297,102,10788
Raigarh,24,TOWN,Urban,Goregaon (Ct),113000,1324,6588,3339,3249,983,551,28,4673,1792,1687,105,4691
Raigarh,24,TOWN,Urban,Karjat (Ct),108000,1511,7670,4022,3648,904,196,74,5952,2474,2441,33,5163
Raigarh,24,TOWN,Urban,Kegaon (Ct),103000,1525,6403,3359,3044,1168,553,136,4566,2005,1837,168,4230
Raigarh,24,TOWN,Urban,Khopoli (M),109000,9279,45039,24090,20949,7214,2234,2553,28729,13475,13266,209,31355
Raigarh,24,TOWN,Urban,Mahad (M),114000,3769,18662,9767,8895,2505,1270,276,13809,5852,5684,168,12642
Raigarh,24,TOWN,Urban,Matheran (M),106000,919,4708,2698,2010,577,507,373,2802,2101,2070,31,2576
Raigarh,24,TOWN,Urban,Mhasla (Ct),115000,1476,7318,3559,3759,1177,134,276,4840,2161,2086,75,5082
Raigarh,24,TOWN,Urban,Murud (M),117000,2379,12111,5857,6254,1461,267,1484,9024,2971,2518,453,8687
Raigarh,24,TOWN,Urban,Neral (Ct),107000,2344,11578,5887,5691,1704,386,1691,7256,3790,3697,93,7695
Raigarh,24,TOWN,Urban,"New Bombay(Panvel,Raigarh)Ct",118000,9878,42732,23754,18978,8405,1462,1764,24204,15229,14698,531,26972
Raigarh,24,TOWN,Urban,Pali (Ct),111000,1310,6178,3241,2937,854,228,111,3690,1934,1914,20,4224
Raigarh,24,TOWN,Urban,Panvel (M),104000,12541,58986,30921,28065,8724,3021,1375,42145,19234,19052,182,39570
Raigarh,24,TOWN,Urban,Pen (M),110000,4624,21588,11204,10384,3084,1219,1205,15467,7041,6972,69,14478
Raigarh,24,TOWN,Urban,Revdanda (Ct),101000,1578,7952,4040,3912,882,102,2836,5408,2740,2376,364,4848
Raigarh,24,TOWN,Urban,Roha Ashtami (M),112000,3135,14827,7851,6976,2198,354,83,10978,4716,4687,29,10082
Raigarh,24,TOWN,Urban,Shrivardhan (M),116000,2896,14774,7244,7530,2063,459,2164,9565,4627,4307,320,9827
Raigarh,24,TOWN,Urban,Taloje Panchnad (Ct),105000,1178,7462,3907,3555,1368,163,457,4012,2126,2103,23,5313
Raigarh,24,TOWN,Urban,Uran (M),102000,3610,17775,9362,8413,2179,1183,1870,12529,5818,5733,85,11872
