district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Ratnagiri,32,DISTRICT,Total,Ratnagiri,,324036,1544057,700190,843867,238227,27385,14847,818801,575756,456702,119054,849247
Ratnagiri,32,DISTRICT,Urban,Ratnagiri,,27167,138056,69688,68368,18492,3267,879,100318,39950,38662,1288,96818
Ratnagiri,32,DISTRICT,Rural,Ratnagiri,,296869,1406001,630502,775499,219735,24118,13968,718483,535806,418040,117766,752429
Ratnagiri,32,TOWN,Urban,Alore (Ct),106000,792,3992,2025,1967,527,190,1,2908,1106,1044,62,2824
Ratnagiri,32,TOWN,Urban,Chiplun (M),105000,6722,34294,17158,17136,4798,743,28,25046,10128,10022,106,24060
Ratnagiri,32,TOWN,Urban,Dabhol (Ct),103000,1255,6980,3346,3634,961,36,3,4547,1880,1754,126,4974
Ratnagiri,32,TOWN,Urban,Dapoli Camp (Ct),102000,2059,9697,5027,4670,1156,449,62,7599,2700,2634,66,6931
Ratnagiri,32,TOWN,Urban,Harnai (Ct),101000,1083,5454,2710,2744,758,67,248,3500,1661,1496,165,3628
Ratnagiri,32,TOWN,Urban,Khed (M),104000,2237,11288,5698,5590,1589,578,91,8425,3246,3172,74,7968
Ratnagiri,32,TOWN,Urban,Rajapur (M),107000,1973,9822,4772,5050,1357,117,17,6972,2638,2521,117,7067
Ratnagiri,32,TOWN,Urban,Ratnagiri (M),100000,11046,56529,28952,27577,7346,1087,429,41321,16591,16019,572,39366
