district,town_name,display_name,first_census,census_count,lat,lon,geocode_status,geocode_query
Jalgaon,faizpur,Faizpur (M),1991,3,21.163708,75.855981,ok,"Faizpur, Jalgaon district, Maharashtra, India"
Jalgaon,fekari,Fekari (Ct),1991,1,21.041361,75.836136,ok,"Fekari, Jalgaon district, Maharashtra, India"
Jalgaon,jalgaon,Jalgaon (M),1991,3,21.01007,75.5696,ok,"Jalgaon, Jalgaon district, Maharashtra, India"
Jalgaon,kandari,Kandari (Ct),1991,3,20.91739,75.691638,ok,"Kandari, Jalgaon district, Maharashtra, India"
Jalgaon,nimbhore bk.,Nimbhore Bk. (Ct),1991,1,21.165593,75.96576,ok,"Nimbhore Bk., Jalgaon district, Maharashtra, India"
Jalgaon,pachora,Pachora (M),1991,3,20.656258,75.401109,ok,"Pachora, Jalgaon district, Maharashtra, India"
Jalgaon,parola,Parola (M),1991,3,20.831309,75.114918,ok,"Parola, Jalgaon district, Maharashtra, India"
Jalgaon,raver,Raver (M),1991,3,21.222231,76.044418,ok,"Raver, Jalgaon district, Maharashtra, India"
Jalgaon,savda,Savda (M),1991,3,21.150809,75.888523,ok,"Savda, Jalgaon district, Maharashtra, India"
Jalgaon,varangaon,Varangaon (Ct),1991,2,21.010478,75.901322,ok,"Varangaon, Jalgaon district, Maharashtra, India"
Jalgaon,yawal,Yawal (M),1991,3,21.226002,75.695082,ok,"Yawal, Jalgaon district, Maharashtra, India"
Jalgaon,nimbhore budruk,Nimbhore Budruk (Ct),2001,2,21.141234,75.091116,ok_photon,"Nimbhore Budruk, Jalgaon district, Maharashtra, India"
Jalgaon,erandol (mc),Erandol (Mc),2001,1,20.867354,75.352015,ok,"Erandol, Jalgaon district, Maharashtra, India"
Jalgaon,bhadgaon,Bhadgaon (M Cl),2011,1,20.660253,75.130494,ok,"Bhadgaon, Jalgaon district, Maharashtra, India"
Jalgaon,takali pr. chalisgaon,Takali Pr. Chalisgaon (Ct),2011,1,20.387555,74.948881,ok_photon,"Takali Pr. Chalisgaon, Jalgaon district, Maharashtra, India"
Jalgaon,pachora (rural),Pachora (Rural) (Ct),2011,1,20.656258,75.401109,ok,"Pachora, Jalgaon district, Maharashtra, India"
Jalgaon,jamner,Jamner (M Cl),2011,1,20.732285,75.802434,ok,"Jamner, Jalgaon district, Maharashtra, India"
Jalna,ambad,Ambad (M),1991,3,19.614586,75.794673,ok,"Ambad, Jalna district, Maharashtra, India"
Jalna,bhokardan,Bhokardan (M),1991,3,20.292832,75.804016,ok,"Bhokardan, Jalna district, Maharashtra, India"
Jalna,jalna,Jalna (M),1991,3,19.831823,75.890934,ok,"Jalna, Jalna district, Maharashtra, India"
Jalna,partur,Partur (M),1991,3,19.488276,76.260698,ok,"Partur, Jalna district, Maharashtra, India"
Kolhapur,gadhinglaj,Gadhinglaj (M),1991,3,16.140901,74.403693,ok,"Gadhinglaj, Kolhapur district, Maharashtra, India"
Kolhapur,gandhinagar,Gandhinagar (Ct),1991,3,16.222004,74.345218,ok,"Gandhinagar, Kolhapur district, Maharashtra, India"
Kolhapur,ichalkarnji,Ichalkarnji (M),1991,1,16.695935,74.455575,ok_photon,"Ichalkaranji, Kolhapur district, Maharashtra, India"
