district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Amravati,07,TOWN,Urban,Chikhaldara (M Cl),40701000,860,4711,2787,1924,570,645,657,3742,1393,1315,78,3318
Amravati,07,TOWN,Urban,Anjangaon (M Cl),40702000,8850,51170,26613,24557,7472,4784,786,37191,17390,15165,2225,33780
Amravati,07,TOWN,Urban,Achalpur (M Cl),40703000,18144,107316,55687,51629,13496,12043,5001,81927,34219,29801,4418,73097
Amravati,07,TOWN,Urban,Chandurbazar (M Cl),40704000,3070,17635,8985,8650,2327,2538,245,13713,6069,5194,875,11566
Amravati,07,TOWN,Urban,Morshi (M Cl),40705000,6842,33607,17233,16374,4118,3411,1977,25968,11817,10076,1741,21790
Amravati,07,TOWN,Urban,Warud (M Cl),40706000,8135,41005,20944,20061,5113,4186,3541,31329,15671,13921,1750,25334
Amravati,07,TOWN,Urban,Shendurjana (M Cl),40707000,4195,21083,10913,10170,2604,2066,1236,15676,8835,7904,931,12248
Amravati,07,TOWN,Urban,Amravati (M Corp.),40709000,104657,549510,284247,265263,67209,86431,16972,432587,159644,147149,12495,389866
Amravati,07,TOWN,Urban,Daryapur Banosa (M Cl),40708000,6518,34397,17758,16639,4487,6708,1558,26609,11315,10068,1247,23082
Amravati,07,TOWN,Urban,Chandur (M Cl),40710000,3625,17719,9134,8585,2222,2341,702,13535,6279,5283,996,11440
Amravati,07,TOWN,Urban,Dattapur Dhamangaon (M Cl),40711000,4316,21426,10926,10500,2564,3318,1236,16708,6816,6190,626,14610
Wardha,08,TOWN,Urban,Arvi (M Cl),40801000,8049,40575,21015,19560,4840,5415,2668,31114,13785,11965,1820,26790
Wardha,08,TOWN,Urban,Sindi (M Cl),40802000,2690,13052,6724,6328,1611,1462,1831,9544,5059,3443,1616,7993
Wardha,08,TOWN,Urban,Wardha (M Cl),40803000,23441,111118,57499,53619,12766,13929,6356,88525,32919,29261,3658,78199
Wardha,08,TOWN,Urban,Sindi Turf Hindnagar (Ct),40804000,3444,15554,8068,7486,1812,2242,804,12127,4910,4033,877,10644
Wardha,08,TOWN,Urban,Pulgaon (M Cl),40805000,7569,36522,18978,17544,3821,9630,1871,29102,11231,8621,2610,25291
Wardha,08,TOWN,Urban,Deoli (M Cl),40806000,3370,15878,8151,7727,1968,1960,995,11459,6226,3616,2610,9652
Wardha,08,TOWN,Urban,Hinganghat (M Cl),40807000,18976,92342,47945,44397,10355,11847,7124,73292,26308,23354,2954,66034
Nagpur,09,TOWN,Urban,Mowad (M Cl),40901000,1823,8737,4489,4248,1081,523,1276,6404,3842,3171,671,4895
Nagpur,09,TOWN,Urban,Narkhed (M Cl),40902000,4200,21537,11060,10477,2652,3439,1504,15460,8196,6608,1588,13341
Nagpur,09,TOWN,Urban,Katol (M Cl),40922000,7705,37435,19304,18131,4442,5565,3440,28793,12795,11515,1280,24640
Nagpur,09,TOWN,Urban,Kalameshwar(M Cl),40920000,3710,17331,9052,8279,2257,1572,2218,13171,6221,5516,705,11110
Nagpur,09,TOWN,Urban,Mohpa (M Cl),40921000,1541,7068,3583,3485,780,801,130,5194,3191,2293,898,3877
Nagpur,09,TOWN,Urban,Savner (M Cl),40903000,5627,26712,13766,12946,3932,3305,1442,19346,8775,7392,1383,17937
Nagpur,09,TOWN,Urban,Khapa (M Cl),40904000,2974,14972,7599,7373,1868,1720,4460,10801,5290,3738,1552,9682
Nagpur,09,TOWN,Urban,Walani (Ct),40905000,1963,10716,5644,5072,1402,2579,575,8011,2638,2343,295,8078
Nagpur,09,TOWN,Urban,Sillewada (Ct),40906000,1573,8503,4530,3973,1054,2063,495,6315,2180,1979,201,6323
Nagpur,09,TOWN,Urban,Chicholi (Ct),40907000,3927,18478,9613,8865,2316,5903,1414,14498,5256,4831,425,13222
Nagpur,09,TOWN,Urban,Tekadi (Ct),40908000,3166,17180,9144,8036,2018,2008,971,12641,4320,3768,552,12860
Nagpur,09,TOWN,Urban,Kanhan (Pipri) (Ct),40909000,4347,21842,11167,10675,2675,6946,1223,15936,6157,4539,1618,15685
Nagpur,09,TOWN,Urban,Kandri (Ct),40910000,1596,8124,4244,3880,1016,1829,490,5853,2460,1799,661,5664
Nagpur,09,TOWN,Urban,Totaladoh (Ct),40911000,530,2336,1188,1148,286,427,464,1509,721,614,107,1615
Nagpur,09,TOWN,Urban,Ramtek (M Cl),40912000,4601,22516,11554,10962,2827,3132,1684,16769,7521,6451,1070,14995
Nagpur,09,TOWN,Urban,Kandri (Ct),40913000,1165,5295,2683,2612,696,827,2272,3565,1670,1431,239,3625
Nagpur,09,TOWN,Urban,Mansar (Ct),40914000,1385,6459,3240,3219,860,1240,1475,4363,2458,2159,299,4001
Nagpur,09,TOWN,Urban,Kamptee (M Cl),40915000,14022,84344,42626,41718,11025,22804,2102,63832,25799,20934,4865,58545
Nagpur,09,TOWN,Urban,Kamptee (Cb),40916000,2338,13125,8333,4792,1417,1752,456,10673,6332,5203,1129,6793
Nagpur,09,TOWN,Urban,Yerkheda (Ct),40917000,2055,10376,5344,5032,1301,2785,493,8093,3081,2369,712,7295
Nagpur,09,TOWN,Urban,Mahadula (Ct),40918000,3973,18252,9432,8820,2231,5038,558,13829,5580,4990,590,12672
Nagpur,09,TOWN,Urban,Wadi (Ct),40926000,9394,40418,21607,18811,5884,11435,1879,31424,12555,11578,977,27863
Nagpur,09,TOWN,Urban,Davlameti (Ct),40927000,1826,8769,4572,4197,1157,4156,198,6700,2486,2085,401,6283
Nagpur,09,TOWN,Urban,Sonegaon (Nipani) (Ct),40928000,2662,12005,6345,5660,1176,2525,922,9699,3642,3347,295,8363
Nagpur,09,TOWN,Urban,Nagpur (M Corp.),40919000,409945,2052066,1059765,992301,249827,343031,181975,1609126,627481,568283,59198,1424585
Nagpur,09,TOWN,Urban,Wanadongri (Ct),40923000,3838,17181,9218,7963,3032,2078,918,11763,5458,4088,1370,11723
Nagpur,09,TOWN,Urban,Nildoh (Ct),40924000,3943,15381,8605,6776,2758,3246,891,10975,5811,5491,320,9570
Nagpur,09,TOWN,Urban,Digdoh (Ct),40925000,8365,37016,20637,16379,5593,5565,2258,28704,11346,10403,943,25670
Nagpur,09,TOWN,Urban,Umred (M Cl),40929000,10046,49577,25454,24123,6100,7001,8506,36775,17786,14155,3631,31791
Bhandara,10,TOWN,Urban,Tumsar (M Cl),41001000,8462,42021,21250,20771,4829,6908,1718,33007,13561,11602,1959,28460
Bhandara,10,TOWN,Urban,Dewhadi (Ct),41002000,1206,5759,2877,2882,709,1019,244,4267,1833,1201,632,3926
Bhandara,10,TOWN,Urban,Bhandara (M Cl),41003000,17380,85213,43553,41660,9992,13814,7679,68031,25511,22315,3196,59702
Bhandara,10,TOWN,Urban,Ganeshpur (Ct),41004000,1751,8183,4249,3934,850,1509,500,6740,2456,2193,263,5727
Bhandara,10,TOWN,Urban,Sawari Jawharnagar (Ct),41005000,2715,11965,6251,5714,1017,4723,689,9967,3550,3014,536,8415
Bhandara,10,TOWN,Urban,Pauni (M Cl),41006000,4585,22587,11497,11090,2951,4032,2148,15991,8359,5799,2560,14228
Gondiya,11,TOWN,Urban,Tirora (M Cl),41101000,4338,22529,11394,11135,2809,4690,1304,16801,8054,6598,1456,14475
Gondiya,11,TOWN,Urban,Gondiya (M Cl),41102000,23364,120902,61418,59484,14474,23672,4793,95570,37781,33880,3901,83121
Gadchiroli,12,TOWN,Urban,Desaiganj (M Cl),41201000,5287,24793,12696,12097,3366,4790,1669,17082,9893,6478,3415,14900
Gadchiroli,12,TOWN,Urban,Gadchiroli (M Cl),41202000,9692,42468,21758,20710,5807,6287,5481,31115,14432,11446,2986,28036
Chandrapur,13,TOWN,Urban,Warora (M Cl),41301000,9027,41971,21684,20287,5211,4817,4362,32081,12539,10742,1797,29432
Chandrapur,13,TOWN,Urban,Brahmapuri (M Cl),41302000,6831,31207,15957,15250,3791,6198,2471,23576,10588,7966,2622,20619
Chandrapur,13,TOWN,Urban,Shivaji Nagar (Ct),41303000,2946,14797,7897,6900,2121,3716,1175,10006,3605,3329,276,11192
Chandrapur,13,TOWN,Urban,Bhadravati (M Cl),41304000,12469,56903,29812,27091,5819,11592,4471,44718,17295,15493,1802,39608
Chandrapur,13,TOWN,Urban,Ghugus (Ct),41305000,6467,29945,15658,14287,4021,6378,1529,21669,8654,7403,1251,21291
Chandrapur,13,TOWN,Urban,Nakoda (Ct),41306000,1348,6002,3183,2819,659,1818,606,4463,1850,1390,460,4152
Chandrapur,13,TOWN,Urban,Chandrapur (M Cl),41307000,63021,289450,151202,138248,36738,47865,25565,215824,88874,78252,10622,200576
Chandrapur,13,TOWN,Urban,Kondumal (Ct),41308000,2861,11721,6089,5632,1534,1671,1407,9729,3209,3126,83,8512
Chandrapur,13,TOWN,Urban,Durgapur (Ct),41309000,3992,17714,9127,8587,2541,4678,1057,12653,5347,4325,1022,12367
Chandrapur,13,TOWN,Urban,Mul (M Cl),41311000,4806,22330,11366,10964,2964,2160,1849,14806,8263,5118,3145,14067
Chandrapur,13,TOWN,Urban,Ballarpur (M Cl),41310000,18327,89995,46575,43420,10755,22523,6573,65684,24490,21877,2613,65505
Chandrapur,13,TOWN,Urban,Chandur (Ct),41312000,4903,21731,11556,10175,3414,3096,2668,14680,7396,6008,1388,14335
Chandrapur,13,TOWN,Urban,Sasti (Ct),41313000,1185,5458,2887,2571,736,2087,336,3479,1814,1296,518,3644
Chandrapur,13,TOWN,Urban,Rajura (M Cl),41314000,5574,25843,13539,12304,3845,3824,2220,18603,7697,7002,695,18146
Yavatmal,14,TOWN,Urban,Waghapur (Ct),41402000,1842,8307,4443,3864,923,1663,1134,6598,2526,2397,129,5781
Yavatmal,14,TOWN,Urban,Yavatmal (M Cl),41403000,25079,120676,61780,58896,14931,16420,7645,94081,38358,36492,1866,82318
Yavatmal,14,TOWN,Urban,Wadgaon Road (Ct),41404000,6873,30756,16064,14692,3476,2318,2576,24664,9092,8555,537,21664
Yavatmal,14,TOWN,Urban,Umarsara (Ct),41405000,4327,19159,10128,9031,2192,3194,2056,15542,5683,5136,547,13476
Yavatmal,14,TOWN,Urban,Darwha (M Cl),41401000,4139,23366,12110,11256,3092,1592,663,18407,6833,6379,454,16533
Yavatmal,14,TOWN,Urban,Digras (M Cl),41407000,7047,39178,20261,18917,5471,3361,2591,27998,11664,11020,644,27514
Yavatmal,14,TOWN,Urban,Pusad (M Cl),41408000,12547,67166,34589,32577,9828,7544,2888,49189,18752,17854,898,48414
Yavatmal,14,TOWN,Urban,Vasantnagar (Ct),41409000,917,4116,2226,1890,659,434,403,2291,1886,1835,51,2230
Yavatmal,14,TOWN,Urban,Umarkhed (M Cl),41410000,5861,34059,17600,16459,5141,2946,1162,23578,10123,9209,914,23936
Yavatmal,14,TOWN,Urban,Ghatanji (M Cl),41406000,4023,19347,10150,9197,2444,2330,2222,14296,7026,6525,501,12321
Yavatmal,14,TOWN,Urban,Pandharkaoda (M Cl),41411000,5405,26572,13613,12959,3462,2288,3393,19532,8793,7921,872,17779
