district,district_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Dhule,02,458359,2535715,1295288,1240427,459093,134359,1036491,1063730,1004884,861276,143608,1371171
Jalgaon,03,596838,3187634,1642873,1544761,551835,295047,313551,1694799,1279877,1192465,87412,1820345
Buldana,04,352853,1886299,966017,920282,362287,216687,95389,940109,844348,790127,54221,987730
Akola,05,420013,2214271,1142148,1072123,400710,264554,155695,1193942,923191,877223,45968,1245112
Amravati,07,427359,2200057,1136314,1063743,359201,384499,316448,1289725,887892,799075,88817,1223348
Wardha,08,220348,1067357,550370,516987,160424,149975,166391,634434,450539,425464,25075,591743
Nagpur,09,654520,3287139,1710404,1576735,521379,619226,457715,2036736,1167907,1103045,64862,2054370
Bhandara,10,433635,2107629,1060275,1047354,339377,355484,309822,1143915,965020,873446,91574,1051035
Gadchiroli,12,147594,718445,362474,355971,130594,85077,294452,236109,335519,272243,63276,319650
Chandrapur,13,403384,1840559,945677,894882,303584,310452,359252,919576,768160,693975,74185,998214
Yavatmal,14,413123,2077144,1064422,1012722,368486,226820,445840,990343,923250,855593,67657,1086237
Nanded,15,407277,2330374,1197876,1132498,490198,422942,275972,886436,926583,810705,115878,1287913
Parbhani,17,380148,2117035,1083794,1033241,445727,233323,111470,795240,890306,813770,76536,1150193
Jalna,18,257513,1364425,696798,667627,292705,176452,28300,495638,599819,548953,50866,713740
Aurangabad,19,424578,2213779,1151693,1062086,449351,305246,83502,1005452,886480,827615,58865,1268434
Nashik,20,700310,3851352,1984973,1866379,725156,326755,931069,1948438,1584002,1489269,94733,2172617
Thane,21,1096592,5249126,2792874,2456252,885306,271797,951205,3034674,1961704,1831849,129855,3157567
Raigarh,24,373126,1824816,907907,916909,305993,50999,233953,971290,720103,639658,80445,1024268
Pune,25,1079140,5532532,2861460,2671072,894657,631063,216336,3295228,2051679,1872603,179076,3301777
Ahmadnagar,26,626703,3372935,1730609,1642326,614906,418479,240141,1683165,1432411,1315048,117363,1823161
Bid,27,367181,1822072,937410,884662,377937,244281,20515,719512,758589,660772,97817,965666
Latur,28,283757,1676641,863203,813438,338676,319568,37527,743556,656243,577163,79080,941318
Osmanabad,29,233003,1276327,658896,617431,243816,208609,22463,560330,529425,480324,49101,697801
Solapur,30,578788,3231057,1670516,1560541,580667,497913,48352,1494462,1248343,1105172,143171,1839543
Satara,31,465891,2451372,1208375,1242997,397183,233014,18342,1369479,896395,701553,194842,1360135
Ratnagiri,32,324036,1544057,700190,843867,238227,27385,14847,818801,575756,456702,119054,849247
Sindhudurg,33,175893,832152,389384,442768,108907,42435,3893,548276,318491,241753,76738,436923
Kolhapur,34,567952,2989507,1524732,1464775,457849,381029,14789,1694724,1169735,960279,209456,1610316
Sangli,35,423305,2209488,1128521,1080967,350297,277458,10784,1164092,814726,654610,160116,1234646
